Name;Version;Company Name
System.Management.Automation.Resources.dll;6.1.7600.16385;Microsoft Corporation
VslangProj100.dll;10.0.30319.1 built by: RTMRel;Microsoft Corporation
VSLangProj110.dll;11.0.61030.0 built by: Q11REL;Microsoft Corporation
VSLangProj140.dll;14.0.25420.1 built by: D14REL;Microsoft Corporation
Accessibility.ni.dll;4.7.3190.0 built by: NET472REL1LAST_C;Microsoft Corporation
AuditPolicyGPManagedStubs.Interop.ni.dll;10.0.0.0; 
CustomMarshalers.ni.dll;4.7.3190.0 built by: NET472REL1LAST_C;Microsoft Corporation
EventViewer.ni.dll;10.0.17763.1;Microsoft Corporation
MetricsPackage.ni.dll;16.0.28917.181;Microsoft Corporation
MetricsPackage.ni.dll;16.0.28714.193;Microsoft Corporation
Microsoft.ApplicationId.RuleWizard.ni.dll;10.0.17763.1;Microsoft Corporation
Microsoft.ApplicationId.Framework.ni.dll;10.0.17763.1;Microsoft Corporation
Microsoft.Alm.Shared.ni.dll;16.0.28729.10;Microsoft Corporation
Microsoft.Alm.Shared.ni.dll;16.0.28917.181;Microsoft Corporation
Microsoft.Build.Engine.resources.ni.dll;14.0.25420.1 built by: D14REL;Microsoft Corporation
Microsoft.Build.Engine.resources.ni.dll;14.0.25420.1 built by: D14REL;Корпорация Майкрософт
Microsoft.Build.Utilities.Core.resources.ni.dll;16.1.76.45076;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.0.461.62831;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.1.76.45076;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.0.461.62831;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.0.461.62831;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.0.461.62831;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.0.461.62831;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;14.0.25420.1 built by: D14REL;Корпорация Майкрософт
Microsoft.Build.Utilities.Core.resources.ni.dll;16.0.461.62831;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.1.76.45076;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.0.461.62831;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.1.76.45076;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.0.461.62831;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.0.461.62831;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.0.461.62831;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.1.76.45076;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.0.461.62831;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.0.461.62831;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.1.76.45076;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.1.76.45076;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.1.76.45076;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.0.461.62831;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.1.76.45076;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;14.0.25420.1 built by: D14REL;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.1.76.45076;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.0.461.62831;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.1.76.45076;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.1.76.45076;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.1.76.45076;Microsoft Corporation
Microsoft.Build.Utilities.Core.resources.ni.dll;16.1.76.45076;Microsoft Corporation
Microsoft.Build.Engine.ni.dll;16.0.461.62831;Microsoft Corporation
Microsoft.Build.Engine.ni.dll;16.1.76.45076;Microsoft Corporation
Microsoft.Build.Framework.ni.dll;4.7.3190.0 built by: NET472REL1LAST_C;Microsoft Corporation
Microsoft.Build.Framework.ni.dll;16.1.76.45076;Microsoft Corporation
Microsoft.Build.Framework.ni.dll;16.0.461.62831;Microsoft Corporation
Microsoft.Build.resources.ni.dll;16.1.76.45076;Microsoft Corporation
